Country/Region;US;Korea, South;China;Taiwan*;Thailand;Japan;Vietnam;Singapore;France;Nepal;Malaysia;Canada;Australia;Cambodia;Sri Lanka;Germany;Finland;United Arab Emirates;Philippines;India;Italy;Sweden;Russia;United Kingdom;Spain;Belgium;Egypt;Iran;Lebanon;Israel;Iraq;Oman;Afghanistan;Bahrain;Kuwait;Algeria;Croatia;Switzerland;Austria;Pakistan;Brazil;Georgia;Greece;North Macedonia;Norway;Romania;Estonia;San Marino;Denmark;Netherlands;Belarus;Iceland;Lithuania;Mexico;New Zealand;Nigeria;Ireland;Luxembourg;Monaco;Qatar;Ecuador;Azerbaijan;Armenia;Dominican Republic;Czechia;Indonesia;Portugal;Andorra;Latvia;Morocco;Saudi Arabia;Senegal;Argentina;Chile;Jordan;Ukraine;Hungary;Liechtenstein;Poland;Tunisia;Faroe Islands-Denmark;Saint Barthelemy-France;Gibraltar-United Kingdom;Bosnia and Herzegovina;Slovenia;South Africa;West Bank and Gaza;Bhutan;Cameroon;Colombia;Costa Rica;Peru;Serbia;Slovakia;Togo;Holy See;Malta;Martinique-France;French Guiana-France;Bulgaria;Maldives;Bangladesh;Paraguay;Moldova;Albania;Cyprus;Brunei;St Martin-France;Burkina Faso;Mongolia;Panama;Channel Islands-United Kingdom;Bolivia;Reunion-France;Honduras;Congo (Kinshasa);Cote d'Ivoire;Jamaica;Turkey;Cuba;Guyana;French Polynesia-France;Guadeloupe-France;Cayman Islands-United Kingdom;Kazakhstan;Ethiopia;Sudan;Guinea;Kenya;Antigua and Barbuda;Aruba-Netherlands;Uruguay;Ghana;Namibia;Seychelles;Trinidad and Tobago;Venezuela;Eswatini;Gabon;Guatemala;Mauritania;Rwanda;Saint Lucia;Saint Vincent and the Grenadines;Suriname;Curacao-Netherlands;Central African Republic;Congo (Brazzaville);Equatorial Guinea;Uzbekistan;Mayotte-France;Greenland-Denmark;Benin;Liberia;Somalia;Tanzania;Bahamas;Barbados;Montenegro;Gambia;Montserrat-United Kingdom;Kyrgyzstan;Mauritius;Zambia;Djibouti;New Caledonia-France;BermudaUnited Kingdom;Chad;El Salvador;Fiji;Nicaragua;Isle of Man-United Kingdom;Sint Maarten-Netherlands;Madagascar;Haiti;Angola;Cabo Verde;Niger;Papua New Guinea;Zimbabwe;Eritrea;Uganda;Dominica;Grenada;Mozambique;Syria;Timor-Leste;Belize;Laos;Libya;Guinea-Bissau;Mali;Saint Kitts and Nevis;Northwest Territories-Canada;Yukon-Canada;Kosovo;Burma;Anguilla-United Kingdom;British Virgin Islands-United Kingdom;Turks and Caicos Islands-United Kingdom;MS Zaandam;Botswana;Burundi;Sierra Leone;Bonaire, Sint Eustatius and Saba-Netherlands;Malawi;Falkland Islands (Islas Malvinas)-United Kingdom
11;8;12;11891;10;19;20;6;18;6;1;10;5;13;1;1;12;1;7;3;3;3;1;2;8;2;1;1;593;13;10;35;16;1;55;58;17;11;214;55;6;13;4;46;3;147;9;10;36;35;265;6;58;1;7;5;2;34;5;1;24;17;11;1;5;91;34;59;1;10;6;45;4;31;43;1;3;30;4;103;18;9;1;1;24;219;51;38;1;4;54;35;86;55;63;1;1;38;16;11;92;13;14;11;30;64;67;75;4;40;6;137;14;19;45;24;23;14;16;670;35;19;18;62;5;62;11;2;4;16;3;9;162;53;7;7;57;84;4;6;21;2;40;3;1;7;6;3;4;9;60;36;6;6;3;2;13;9;24;82;3;5;58;102;28;14;15;22;3;24;5;4;49;6;43;15;7;6;27;1;7;15;44;12;9;10;10;1;3;10;11;18;41;9;;;;;;;;;;;;;;
12;8;15;16630;10;19;20;8;18;6;1;12;5;14;1;1;13;1;7;3;3;3;1;2;8;2;1;1;978;13;12;40;16;1;60;58;17;12;268;79;6;20;13;73;3;176;15;10;36;90;321;9;69;1;7;5;2;43;7;1;262;17;11;4;5;94;69;112;1;17;7;86;10;34;61;1;3;32;4;119;18;11;1;1;25;253;62;38;1;10;65;41;117;65;72;1;1;38;19;11;94;13;17;11;49;70;67;78;4;64;10;200;32;24;64;26;30;14;19;1236;40;20;25;62;6;72;12;3;4;25;3;12;189;93;7;7;60;91;4;6;24;2;41;3;1;8;6;3;4;12;75;36;10;6;3;3;13;10;26;84;3;5;84;107;29;18;15;27;5;30;5;4;60;6;57;15;7;6;27;1;8;15;44;12;10;10;16;1;4;10;18;;;;;;;;;;;;;;;;;
13;11;15;19716;10;19;20;8;24;6;1;12;7;15;1;1;13;1;8;3;3;3;1;2;9;2;1;1;1501;13;15;54;16;1;85;61;19;12;337;104;6;25;15;73;3;205;15;12;51;262;382;9;85;3;8;5;2;43;19;2;262;17;15;8;5;141;96;169;1;26;17;103;10;45;74;8;3;39;4;177;20;18;3;1;26;275;62;39;1;10;93;50;145;83;105;1;1;53;23;11;127;13;20;13;66;76;84;83;4;75;10;313;32;27;71;30;36;25;19;1529;48;5;25;73;8;81;12;3;4;28;3;17;217;132;8;7;65;107;6;7;25;3;50;3;1;8;6;3;4;12;88;50;10;6;3;3;14;10;33;85;4;5;94;128;35;18;16;32;7;32;5;5;68;16;57;16;8;6;74;1;8;22;45;12;12;10;16;1;4;;;;;;;;;;;;;;;;;;;
14;11;16;23707;11;25;22;8;28;6;1;12;7;15;1;1;14;1;8;3;3;3;1;2;9;2;1;1;2336;16;20;60;16;4;85;64;20;12;374;131;16;31;15;89;7;400;25;16;62;442;503;12;103;3;12;5;2;90;34;2;320;28;15;18;11;189;117;245;1;30;28;103;24;56;155;17;7;50;7;238;24;47;3;3;38;275;116;41;1;13;102;69;234;103;123;1;1;64;32;15;163;13;25;18;80;89;95;88;5;99;10;345;36;29;94;30;45;73;21;1872;57;5;30;73;8;111;12;3;4;31;7;28;238;137;8;7;66;107;9;7;28;3;54;3;1;8;8;3;4;12;104;63;10;6;3;3;14;11;33;91;4;5;107;143;35;30;16;32;7;32;5;5;95;18;59;16;8;6;98;1;9;22;48;14;12;10;16;1;;;;;;;;;;;;;;;;;;;;
15;11;19;27440;11;25;22;10;28;6;1;16;7;15;1;1;14;1;8;3;3;3;1;2;9;2;1;1;2922;22;37;60;16;4;95;64;20;14;491;182;19;38;24;99;7;598;45;16;69;615;503;27;134;6;12;5;2;129;51;2;337;28;23;26;11;253;134;331;2;34;29;118;24;68;201;34;14;58;28;251;29;58;3;8;63;286;150;44;2;20;128;89;234;135;137;9;1;73;32;18;187;13;27;22;94;104;116;91;8;114;10;345;36;32;111;36;48;80;26;2433;67;5;30;73;8;150;16;3;8;31;7;33;274;141;8;8;74;119;9;7;34;5;60;3;1;8;8;3;19;12;144;63;10;6;3;3;19;14;34;109;4;5;111;161;36;33;18;35;8;41;7;5;114;23;70;18;8;6;120;1;9;29;48;;;;;;;;;;;;;;;;;;;;;;;;;
16;11;23;30587;16;25;22;10;30;11;1;16;7;15;1;1;16;1;8;3;3;3;1;2;9;2;1;1;3513;22;43;71;18;5;110;69;20;19;652;246;20;52;24;99;7;702;49;79;80;801;804;27;156;8;26;6;2;129;59;2;401;37;28;52;11;298;172;448;39;49;38;171;26;79;238;52;14;73;28;355;39;72;3;10;89;341;202;47;2;27;196;117;318;171;178;16;1;90;44;18;201;13;33;22;109;123;124;104;8;146;10;443;46;43;135;52;51;96;26;3629;80;5;30;102;8;228;16;5;8;38;7;46;304;152;11;8;78;119;9;7;34;5;70;9;1;8;8;3;19;12;149;82;10;9;3;5;19;14;34;123;4;5;116;169;39;40;18;35;8;46;7;5;126;23;70;20;10;7;144;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;11;24;34110;16;25;25;13;33;11;1;18;7;15;1;1;16;1;8;3;3;3;1;2;9;2;1;2;4747;32;61;71;18;7;195;72;24;19;652;302;28;151;25;190;14;996;89;115;80;827;959;27;171;12;41;8;2;169;77;7;439;58;28;78;21;396;227;448;39;71;49;171;31;97;238;69;16;85;28;425;54;80;3;10;93;383;240;48;2;40;231;134;363;222;185;16;1;107;53;20;218;13;39;27;125;146;132;109;11;152;11;558;66;61;145;68;51;101;26;5698;119;8;30;106;8;284;21;6;16;42;7;50;310;152;11;8;82;135;9;7;36;5;70;9;1;8;11;3;19;12;172;94;10;13;6;5;20;21;46;144;4;6;130;186;39;49;17;35;9;56;12;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;11;24;36814;17;32;25;13;40;11;1;18;7;15;1;1;16;1;8;3;3;3;1;2;9;2;1;2;5823;32;61;71;18;7;195;80;26;32;1139;504;31;151;30;228;14;1090;123;171;101;864;1135;36;180;17;53;8;2;223;140;7;439;111;28;84;21;464;311;785;53;86;63;274;31;128;434;85;29;103;37;536;60;92;3;10;126;414;274;52;2;56;277;158;395;249;186;18;1;110;57;23;242;13;39;37;149;174;146;114;11;180;11;674;88;74;183;95;65;101;30;7402;139;8;36;106;12;302;23;6;22;50;7;50;338;161;11;10;87;135;9;16;38;6;75;13;1;9;11;3;19;15;181;94;10;13;6;5;20;24;51;174;4;6;144;196;39;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;11;25;39829;18;32;26;14;45;11;1;18;7;15;1;1;16;1;9;3;3;3;1;2;9;2;1;2;6566;41;75;101;19;7;195;80;37;38;1359;655;53;162;33;331;14;1221;131;205;109;914;1413;36;220;25;82;12;3;292;203;7;452;199;44;115;34;694;369;1020;75;111;77;344;38;158;537;85;47;131;37;634;75;115;3;15;136;442;402;59;2;66;378;177;416;303;204;20;4;129;66;28;264;13;44;41;177;186;162;115;11;207;12;786;97;81;183;110;65;165;32;9217;170;8;36;114;14;343;26;7;22;59;7;55;338;195;14;10;90;143;9;18;39;6;82;13;1;10;11;3;22;15;205;116;10;16;7;7;20;24;52;201;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;11;27;42354;18;32;26;15;47;11;1;19;7;15;1;1;16;1;9;3;3;3;1;2;9;2;1;2;7161;61;79;110;19;11;210;104;48;49;2200;860;136;200;33;331;18;1333;158;225;109;977;1705;51;250;27;93;20;8;557;335;7;460;367;44;136;72;833;450;1280;88;124;96;392;47;266;632;112;73;167;51;749;89;118;3;15;166;480;554;59;2;75;470;201;480;384;216;23;4;134;66;28;293;16;48;52;199;197;179;120;11;222;12;901;108;97;224;139;81;168;36;10827;186;12;37;125;22;380;29;7;30;81;7;55;350;204;14;10;94;146;9;21;47;6;84;13;2;10;11;8;22;16;227;128;11;16;10;7;20;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
